Name,Prompt,Mean IoU,Mean F1,Mean Accuracy,Mean Sensitivity,iters,loss
prompt_exp2,end-to-end,0.0000,0.0000,0.9689,0.0000,112,
prompt_exp2,end-to-end,0.0188,0.0351,0.9887,0.0190,224,
prompt_exp2,end-to-end,0.6006,0.7407,0.9940,0.8193,336,
prompt_exp2,end-to-end,0.6195,0.7623,0.9942,0.8303,448,
prompt_exp2,end-to-end,0.6256,0.7673,0.9945,0.8096,560,
prompt_exp2,end-to-end,0.6248,0.7667,0.9944,0.8201,672,
prompt_exp2,end-to-end,0.6234,0.7656,0.9944,0.8217,784,
prompt_exp2,end-to-end,0.6237,0.7657,0.9944,0.8210,896,
prompt_exp2,end-to-end,0.6238,0.7658,0.9944,0.8205,1008,
prompt_exp2,end-to-end,0.6241,0.7661,0.9944,0.8195,1120,
prompt_exp2,end-to-end,0.0000,0.0000,0.9689,0.0000,112,
prompt_exp2,end-to-end,0.0171,0.0321,0.9887,0.0173,224,
prompt_exp2,end-to-end,0.5502,0.6765,0.9940,0.7290,336,
prompt_exp2,end-to-end,0.6382,0.7775,0.9945,0.8524,448,
prompt_exp2,end-to-end,0.6490,0.7857,0.9949,0.8259,560,
prompt_exp2,end-to-end,0.6501,0.7866,0.9949,0.8146,672,
prompt_exp2,end-to-end,0.6336,0.7735,0.9948,0.7826,784,
prompt_exp2,end-to-end,0.0000,0.0000,0.9689,0.0000,112,
prompt_exp2,end-to-end,0.0157,0.0295,0.9887,0.0158,224,
prompt_exp2,end-to-end,0.5975,0.7390,0.9938,0.8323,336,
prompt_exp2,end-to-end,0.6169,0.7604,0.9942,0.8302,448,
prompt_exp2,end-to-end,0.6348,0.7735,0.9948,0.7919,560,
prompt_exp2,end-to-end,0.6316,0.7706,0.9948,0.7795,672,
prompt_exp2,end-to-end,0.6292,0.7706,0.9945,0.8238,784,
prompt_exp2,end-to-end,0.6453,0.7827,0.9949,0.7983,896,
prompt_exp2,end-to-end,0.6343,0.7741,0.9949,0.7579,1008,
prompt_exp2,end-to-end,0.6487,0.7853,0.9949,0.8106,1120,
prompt_exp2,end-to-end,0.0005,0.0011,0.9882,0.0006,112,
prompt_exp2,end-to-end,0.0321,0.0607,0.9888,0.0326,224,
prompt_exp2,end-to-end,0.3733,0.5314,0.9908,0.4944,336,
prompt_exp2,end-to-end,0.5806,0.7292,0.9935,0.7921,448,
prompt_exp2,end-to-end,0.6165,0.7603,0.9946,0.7660,560,
prompt_exp2,end-to-end,0.6279,0.7692,0.9948,0.7642,672,
prompt_exp2,end-to-end,0.6225,0.7647,0.9948,0.7565,784,
prompt_exp2,end-to-end,0.6451,0.7821,0.9951,0.7723,896,
prompt_exp2,end-to-end,0.6520,0.7874,0.9951,0.7921,1008,
prompt_exp2,end-to-end,0.6542,0.7890,0.9951,0.7942,1120,
prompt_exp2,end-to-end,0.0005,0.0011,0.9882,0.0006,112,
prompt_exp2,end-to-end,0.0333,0.0629,0.9888,0.0338,224,
prompt_exp2,end-to-end,0.3732,0.5320,0.9905,0.5082,336,
prompt_exp2,end-to-end,0.5804,0.7290,0.9936,0.7857,448,
prompt_exp2,end-to-end,0.6140,0.7583,0.9946,0.7594,560,
prompt_exp2,end-to-end,0.6266,0.7682,0.9948,0.7659,672,
prompt_exp2,end-to-end,0.6198,0.7624,0.9948,0.7435,784,
prompt_exp2,end-to-end,0.6448,0.7819,0.9951,0.7712,896,
prompt_exp2,end-to-end,0.6537,0.7887,0.9951,0.7961,1008,
prompt_exp2,end-to-end,0.6545,0.7892,0.9951,0.7957,1120,
prompt_exp2,end-to-end,0.0006,0.0011,0.9882,0.0006,112,
prompt_exp2,end-to-end,0.0372,0.0697,0.9888,0.0377,224,
prompt_exp2,end-to-end,0.3733,0.5317,0.9907,0.4997,336,
prompt_exp2,end-to-end,0.5818,0.7302,0.9936,0.7856,448,
prompt_exp2,end-to-end,0.6128,0.7572,0.9945,0.7589,560,
prompt_exp2,end-to-end,0.6268,0.7683,0.9948,0.7676,672,
prompt_exp2,end-to-end,0.6217,0.7639,0.9948,0.7476,784,
prompt_exp2,end-to-end,0.6451,0.7821,0.9951,0.7726,896,
prompt_exp2,end-to-end,0.6531,0.7882,0.9951,0.7954,1008,
prompt_exp2,end-to-end,0.6541,0.7889,0.9951,0.7952,1120,
train_1000_samples,end-to-end,0.6267,0.7684,0.9945,0.8053,1001,
train_1000_samples,box,0.6471,0.7838,0.9950,0.7856,1001,
train_1000_samples,end-to-end,0.6292,0.7698,0.9945,0.8003,2002,
train_1000_samples,box,0.6460,0.7831,0.9948,0.8117,2002,
train_1000_samples,end-to-end,0.6119,0.7556,0.9943,0.7705,3003,
train_1000_samples,box,0.6227,0.7646,0.9945,0.7691,3003,
train_1000_samples,end-to-end,0.6108,0.7544,0.9944,0.7460,4004,
train_1000_samples,end-to-end,0.6117,0.7552,0.9944,0.7454,5005,
train_1000_samples,end-to-end,0.6071,0.7517,0.9943,0.7536,6006,
train_1000_samples,end-to-end,0.0000,0.0000,0.9623,0.0000,10,
train_1000_samples,end-to-end,0.0000,0.0000,0.9597,0.0000,10,
train_1000_samples,box,0.1291,0.1819,0.9087,0.3439,10,
train_1000_samples,end-to-end,0.0000,0.0000,0.9602,0.0000,20,
train_1000_samples,box,0.1291,0.1819,0.9087,0.3440,20,
train_1000_samples,end-to-end,0.0000,0.0000,0.9608,0.0000,30,
train_1000_samples,box,0.1292,0.1820,0.9087,0.3441,30,
train_1000_samples,end-to-end,0.0000,0.0000,0.9619,0.0000,40,
train_1000_samples,end-to-end,0.0000,0.0000,0.9638,0.0000,50,
train_1000_samples,box,0.1293,0.1822,0.9087,0.3444,50,
train_1000_samples,end-to-end,0.0002,0.0003,0.9869,0.0002,100,
